video_id,titulo,canal,categoria_estimulacion,fuente_etiqueta,url,duracion_analizada_seg,cortes_por_minuto,duracion_promedio_escena,magnitud_movimiento_promedio,variabilidad_movimiento,luminosidad_promedio,variabilidad_luminosidad,contraste_promedio,variabilidad_contraste,saturacion_promedio,variabilidad_saturacion,flicker_promedio,destellos_por_minuto,riqueza_cromatica,densidad_bordes_promedio,energia_audio_promedio,variabilidad_audio,tempo_bpm,onsets_por_minuto,brillo_espectral_promedio
jNQXAC9IVRw,Me at the zoo,jawed,No especificado,CLI,https://www.youtube.com/watch?v=jNQXAC9IVRw,18.93,0.0,18.93,1.2067,0.6527,124.8,2.85,49.14,1.36,46.34,3.06,0.4232,0.0,24.19,14.11,0.0614,0.0168,117.45,69.67,968.66
bL4drdg-41Y,Nina Builds a New Best Friend! 🎨 Pin Pon Paper Doll Song | CoComelon Nursery Rhymes & Kids Songs,Cocomelon - Nursery Rhymes,No especificado,CLI,https://www.youtube.com/watch?v=bL4drdg-41Y,30.0,18.0,3.0,0.9269,1.1224,183.74,36.31,46.7,12.06,117.57,45.59,1.1639,42.0,21.24,9.6,0.0968,0.0616,172.27,194.0,2332.33
